t,stimulus,Vr,Vh,Ve,G,K,Vk,reakcja,Vp,swiadomosc,myslenie,decyzja
24.200000000000003,2.0,1.9809299640314069,-0.07413171236338574,0.15109378643707339,0.10000198589186808,0.18886723304634173,1.8886348242180253,0.0,2.0,0.3917355174877434,-0.07882542477267043,0.0
24.3,2.0,1.951800970046026,-0.07463262996098277,0.1501835195194053,0.10000190473418442,0.18772939939925662,1.877258237213192,0.0,2.0,0.3894695375966755,-0.08022649865248666,0.0
24.400000000000002,2.0,1.9777178105864546,-0.0751528691947715,0.15404784675774574,0.1000018931519049,0.19255980844718218,1.9255616306651309,0.0,2.0,0.39959103899076565,-0.08167364086212679,0.0
24.5,2.0,2.0101709192181945,-0.07563359165418283,0.14614449188226533,0.10000194233780789,0.18268061485283166,1.8267706664709984,0.0,2.0,0.37917802073257745,-0.0830553199648182,0.0
24.6,2.0,2.0471672374278884,-0.07615677992164707,0.15463765349284775,0.1000018417675477,0.19329706686605969,1.9329350684897872,0.0,2.0,0.4013150159129378,-0.08452740818290004,0.0
24.700000000000003,2.0,2.0165151093951184,-0.07668331489760949,0.1553069951924837,0.10000194984806997,0.1941337439906046,1.9412995875135064,0.0,2.0,0.4031543070038926,-0.08601609008516839,0.0
24.8,2.0,2.0369466925417705,-0.07720028673672331,0.15339436782276494,0.10000195836848111,0.19174295977845618,1.9173920481830309,0.0,2.0,0.39828853103155715,-0.08749635123263287,0.0
24.900000000000002,2.0,1.9967833162360706,-0.07775010301049014,0.1599632547533656,0.10000193401728054,0.199954068441707,1.9995020137026003,1.0,2.0,0.41545458630212334,-0.08905099617450381,0.0
25.0,2.0,1.9323375542651984,-0.07826429512088451,0.15283842207887433,0.10000201767557591,0.19104802759859288,1.9104417294697613,1.0,2.0,0.3970482944114249,-0.09054622009592772,0.0
25.1,2.0,2.088375299714947,-0.07881562706030186,0.1602663878834702,0.10000192693908493,0.20033298485433773,2.003291246341367,1.0,2.0,0.4164553395308321,-0.09212515707814338,0.0
25.200000000000003,2.0,1.985716542854228,-0.07930322439112161,0.1475194661639496,0.10000202153793622,0.184399332704937,1.8439560507782762,1.0,2.0,0.3834221270689467,-0.09358750324405066,0.0
25.3,2.0,1.9296659866372579,-0.07983329171511902,0.1560134647994823,0.10000185925524825,0.19501683099935288,1.950132052061003,1.0,2.0,0.40560249755723515,-0.0951443867999036,0.0
25.400000000000002,2.0,1.9854956163600936,-0.08031587511528218,0.14651668003263327,0.10000196736634025,0.1831458500407916,1.831422469618701,1.0,2.0,0.3810012193013416,-0.09661533872187944,0.0
25.5,2.0,1.9741723107511633,-0.08086426442431396,0.15967786180635732,0.10000184650088353,0.19959732725794663,1.9959364175958805,1.0,2.0,0.4153349455656662,-0.09822936782685673,0.0
25.6,2.0,1.9796192858945039,-0.08133913303146566,0.1449737214303378,0.10000201404130306,0.18121715178792225,1.8121350207314377,1.0,2.0,0.3771743495927056,-0.09970337242854284,0.0
25.700000000000003,2.0,1.9667066561852489,-0.08183969757763003,0.15011290923287463,0.10000182687683062,0.18764113654109327,1.8763770863126876,1.0,2.0,0.39063876694983235,-0.10123902181530742,0.0
25.8,2.0,2.0682045460443166,-0.08233759192745353,0.1495788699646996,0.100001892254878,0.1869735874558745,1.8697004950599232,1.0,2.0,0.38934212985690286,-0.1027785173098228,0.0
25.900000000000002,2.0,1.941582206489702,-0.08282081321186112,0.14664425688151692,0.10000188545825155,0.18330532110189612,1.8330186502175683,1.0,2.0,0.38179213796351263,-0.10429666688579484,0.0
26.0,2.0,2.0484986336743933,-0.08332164506761167,0.15016637115011,0.10000184812509177,0.1877079639376375,1.8770449492376844,1.0,2.0,0.3910560642228509,-0.10586068052055242,0.0
26.1,2.0,1.9801577990059487,-0.08385380418494842,0.1564318234673499,0.10000189293477331,0.19553977933418737,1.9553607796377321,1.0,2.0,0.4074763130350317,-0.10750035595721812,0.0
26.200000000000003,2.0,2.0495934998948115,-0.08436264961828517,0.15176908666734865,0.1000019726933579,0.1897113583341858,1.8970761598464585,1.0,2.0,0.3954272695201274,-0.10910081124239371,0.0
26.3,2.0,1.9959122800613935,-0.08485963923855186,0.14939792405333752,0.10000191332900195,0.1867474050666719,1.8674383204277407,1.0,2.0,0.38934212755603725,-0.11068554298466306,0.0
26.400000000000002,2.0,2.0169919745107188,-0.0853667967652762,0.15143150534486866,0.10000188315551027,0.1892893816810858,1.8928581713479027,1.0,2.0,0.3947377915379656,-0.11230144580224247,0.0
26.5,2.0,1.9687951962084311,-0.08588673311232518,0.1539872694097976,0.10000190903422966,0.192484086762247,1.9248041224529182,1.0,2.0,0.4015000029126127,-0.11395462874105435,0.0
26.6,2.0,1.8990585538400628,-0.08642126054587573,0.15690548671011106,0.10000194156627475,0.19613185838763883,1.9612805043155632,1.0,2.0,0.4092136792103426,-0.11564962498456084,0.0
26.700000000000003,2.0,2.0302628037634243,-0.08694331336191292,0.1544105632074395,0.10000197872470158,0.19301320400929936,1.9300938488492427,1.0,2.0,0.4028076154977661,-0.11732774573247758,0.0
26.8,2.0,2.0257381673585835,-0.08747332989985286,0.15600330758798767,0.10000194695406138,0.19500413448498458,1.9500033791798577,1.0,2.0,0.4070659299576095,-0.11903351183124161,0.0
26.900000000000002,2.0,1.9570610906089074,-0.087987068918635,0.15274780375642727,0.1000019672352521,0.1909347546955341,1.9093099863362177,1.0,2.0,0.39866929881142676,-0.12071349077327748,0.0
27.0,2.0,1.9508336102367252,-0.08847482332007518,0.1475508802880355,0.1000019257865662,0.1844386003600444,1.8443504853465633,1.0,2.0,0.3851953733003457,-0.12234530803130317,0.0
27.1,2.0,1.9453197413184111,-0.08902479838714607,0.15999501341417738,0.10000185965665712,0.1999937667677217,1.999900476394872,1.0,2.0,0.4177919383006257,-0.1241257485078214,0.0
27.200000000000003,2.0,2.0266555474606864,-0.08953349039564866,0.15173840170051922,0.1000020180817215,0.18967300212564903,1.8966917444670819,1.0,2.0,0.39632809016542875,-0.12582395709923447,0.0
27.3,2.0,1.9246272509835831,-0.09001955747437973,0.14721341574621383,0.10000191293758115,0.18401676968276728,1.8401324962416092,1.0,2.0,0.38459864754024214,-0.12748046791670523,0.0
27.400000000000002,2.0,2.0366109906531507,-0.09052776196512748,0.151640898149548,0.10000185536416939,0.189551122686935,1.895476058885714,1.0,2.0,0.3962618842886956,-0.12919643180818777,0.0
27.5,2.0,2.0297024143025624,-0.09103123418849315,0.15069444467313542,0.10000191169975141,0.18836805584141925,1.8836445487860358,0.0,2.0,0.39388348828776987,-0.1309111694686809,0.0
